handle,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age
004Satsangi,1,0,0,1,1,2,0,Sun May 14 04:08:23 2017,1.0
017abhishek,0,1,0,1,6,0,0,Sun May 14 02:51:19 2017,0.166666666667
04_prati,1,0,0,1,1,2,0,Sat May 13 16:32:43 2017,1.0
095pooja,0,2,0,2,4,4,23,Mon May 15 06:28:12 2017,0.5
09Sameertiwari,1,0,0,1,2,0,1,Sun May 14 01:59:47 2017,0.5
100bhutani,0,1,0,1,16,0,1,Sun May 14 07:58:10 2017,0.0625
1203_priyanka,1,0,0,1,1,6,17,Tue May 09 07:51:13 2017,1.0
12345Apoorva,1,0,0,1,24,51,61,Wed Sep 24 06:49:34 2014,0.0416666666667
1234Shantighosh,1,0,0,1,4,2,20,Sat May 13 06:50:31 2017,0.25
18_rajeswari,1,0,0,1,1,0,0,Thu May 11 15:14:00 2017,1.0
1939rks,1,0,0,1,1,0,2,Sat May 13 11:27:01 2017,1.0
1982sanjeev2,1,0,0,1,1,0,3,Mon May 08 14:12:23 2017,1.0
1987Saran,0,1,0,1,29,74,125,Wed Feb 18 12:25:16 2015,0.0344827586207
1994_preethi,1,0,0,1,1,1,20,Thu May 11 15:05:43 2017,1.0
1ranjeetsinghrs,1,0,0,1,1,1,20,Sat May 13 04:17:47 2017,1.0
2017Rakesh,1,0,0,1,1,0,2,Sun May 14 03:18:51 2017,1.0
2017parth,1,0,0,1,1,0,2,Sun May 14 05:38:24 2017,1.0
2017sharvan,1,0,0,1,1,0,0,Sun May 14 06:28:51 2017,1.0
20_vansh,1,0,0,1,1,1,0,Sun May 14 06:13:20 2017,1.0
2Sittu,1,0,0,1,1,5,22,Sat May 13 08:22:00 2017,1.0
2peehu,1,0,0,1,1,0,0,Sun May 14 04:28:56 2017,1.0
2vohrasan,1,0,0,1,3,0,0,Sat May 13 23:02:44 2017,0.333333333333
420Madhusudhan,1,1,0,2,2,1,21,Sat May 13 17:20:08 2017,1.0
46vkumar,0,2,0,2,24,2,2,Sun May 14 09:06:09 2017,0.0833333333333
504SumeruThapa,1,27,0,28,29,4,21,Sat May 13 16:52:02 2017,0.965517241379
5eFn4MxTeo5IxHl,0,1,0,1,1353,30,579,Fri Jan 20 20:47:38 2017,0.000739098300074
6Chandrashekar,1,0,0,1,1,0,0,Sun May 14 13:36:45 2017,1.0
7814025926sarab,1,0,0,1,1,0,40,Thu May 11 10:08:29 2017,1.0
7888431795mohi,1,0,0,1,1,0,40,Tue May 16 15:21:44 2017,1.0
8194806886gur,1,0,0,1,1,0,30,Fri May 12 09:47:03 2017,1.0
8195850677mohan,1,0,0,1,1,2,60,Thu May 11 15:37:51 2017,1.0
8284018233man,1,0,0,1,1,1,21,Thu May 11 07:33:30 2017,1.0
830ad47befea46e,1,1,0,2,184,105,126,Mon Sep 08 16:10:02 2014,0.0108695652174
8437112232sarb,1,0,0,1,1,1,30,Thu May 11 15:21:52 2017,1.0
873e0fcc00e449d,1,0,0,1,4,0,3,Sun May 14 13:54:49 2017,0.25
8968250550raman,1,0,0,1,1,0,30,Thu May 11 13:08:10 2017,1.0
9216224110Sneh,1,0,0,1,1,2,40,Thu May 11 13:35:05 2017,1.0
9217925926manin,1,1,0,2,2,0,29,Thu May 11 10:02:22 2017,1.0
9417066350harj,1,0,0,1,1,0,21,Thu May 11 10:37:21 2017,1.0
9417319003gur,1,0,0,1,1,3,60,Thu May 11 15:33:25 2017,1.0
9417510693dilip,1,0,0,1,2,0,40,Thu May 11 08:06:55 2017,0.5
9463608928suman,2,0,0,2,1,0,30,Thu May 11 10:51:11 2017,2.0
9463973022gur,1,0,0,1,2,1,50,Fri May 12 09:53:14 2017,0.5
94_CSSandeep,1,0,0,1,4,12,140,Thu May 11 14:50:03 2017,0.25
9501547471jugal,1,0,0,1,1,0,60,Fri May 12 14:31:14 2017,1.0
9653069860kiran,1,0,0,1,1,0,30,Thu May 11 10:31:22 2017,1.0
9653292262div,1,0,0,1,0,0,0,Thu May 11 12:18:39 2017,inf
9780462521suman,1,0,0,1,1,1,40,Thu May 11 13:52:20 2017,1.0
9781375501sur,1,0,0,1,1,3,30,Thu May 11 15:30:10 2017,1.0
980480pappu,1,1,0,2,2,1,21,Sat May 13 17:32:55 2017,1.0
9814343439gurbh,1,0,0,1,1,1,30,Thu May 11 13:10:15 2017,1.0
9814523192gur,1,0,0,1,1,0,30,Thu May 11 13:43:14 2017,1.0
9814648327param,1,0,0,1,1,1,60,Thu May 11 14:37:07 2017,1.0
9815525954raman,1,0,0,1,1,1,30,Thu May 11 09:49:33 2017,1.0
9855934032sukh,1,0,0,1,1,1,30,Tue May 16 15:09:16 2017,1.0
9872828978deep,1,0,0,1,0,0,0,Thu May 11 11:35:36 2017,inf
9914878830sarab,1,0,0,1,1,0,30,Thu May 11 09:32:55 2017,1.0
9915699604vikas,1,0,0,1,1,0,50,Thu May 11 09:53:41 2017,1.0
9915861001dahb,1,0,0,1,1,5,50,Thu May 11 15:17:11 2017,1.0
9999068910,0,1,0,1,30,28,37,Mon Mar 08 14:36:45 2010,0.0333333333333
9agoyal,1,0,0,1,103,43,24,Sun Nov 17 18:46:30 2013,0.00970873786408
A3Parashar,0,1,0,1,2,0,2,Wed May 17 21:06:10 2017,0.5
AABB58518873,1,1,0,2,26,2,1,Sun May 14 08:32:28 2017,0.0769230769231
AAGupta6,0,1,0,1,2,0,1,Mon May 15 12:16:24 2017,0.5
AARTINAGAR14,1,0,0,1,1,1,3,Fri May 12 06:27:27 2017,1.0
AArati771,1,0,0,1,1,0,1,Sat May 13 04:46:48 2017,1.0
ABSSRao1,1,0,0,1,1,0,0,Sun May 14 00:44:03 2017,1.0
ADeepke,1,0,0,1,1,1,20,Sun May 14 05:26:12 2017,1.0
AGAM07699068,1,1,0,2,2,0,20,Fri May 12 14:33:02 2017,1.0
AGAM45098999,1,0,0,1,1,3,21,Mon May 08 16:56:07 2017,1.0
AGAMRAJPUT3,1,1,0,2,2,0,20,Fri May 12 14:45:54 2017,1.0
AGAMSHAHNGPRS,0,1,0,1,18,0,0,Wed May 17 12:43:13 2017,0.0555555555556
AHNAKRISTHA,2,0,0,2,149,23,27,Wed May 10 17:35:26 2017,0.0134228187919
AJAGANTPT,0,2,0,2,2,2,14,Sun May 14 14:32:23 2017,1.0
AKASHDEEP0000,1,0,0,1,1,2,1,Sat May 13 14:23:37 2017,1.0
AKASHKU47931067,1,0,0,1,1,0,22,Sun May 14 05:11:18 2017,1.0
AKChaurasiabpl,0,2,0,2,33,6,19,Sun May 14 05:41:44 2017,0.0606060606061
AKDevi_db,2,0,0,2,3,1,7,Fri May 12 00:47:15 2017,0.666666666667
AKMallick7,0,1,0,1,17,3,5,Sun May 14 06:50:21 2017,0.0588235294118
AKSingh852,1,0,0,1,1,0,0,Sun May 14 03:25:05 2017,1.0
AKiransatsangi,1,14,0,15,67,13,80,Tue May 09 06:56:18 2017,0.223880597015
AMARKUMARPANDE,1,0,0,1,1,2,20,Wed May 10 16:08:36 2017,1.0
AMARNATH_15,0,1,0,1,3,1,1,Sat May 13 23:13:05 2017,0.333333333333
AMITKUM02100040,0,2,0,2,2,3,22,Sun May 14 01:38:00 2017,1.0
AMITKUM65221795,1,0,0,1,1,0,20,Sun May 14 04:46:32 2017,1.0
AMRITSH36321223,0,1,0,1,23,3,43,Thu May 11 18:07:20 2017,0.0434782608696
AM_040389,1,1,0,2,3,4,5,Sun May 14 02:23:34 2017,0.666666666667
ANANDKU79049701,0,2,0,2,5,3,21,Sun May 14 01:48:32 2017,0.4
ANANTPREM1,1,0,0,1,3,0,0,Wed May 10 16:01:08 2017,0.333333333333
