handle,tweetType,counts
004Satsangi,Tweet,1
017abhishek,Retweet,1
04_prati,Tweet,1
095pooja,Retweet,2
09Sameertiwari,Tweet,1
100bhutani,Retweet,1
1203_priyanka,Tweet,1
12345Apoorva,Tweet,1
1234Shantighosh,Tweet,1
18_rajeswari,Tweet,1
1939rks,Tweet,1
1982sanjeev2,Tweet,1
1987Saran,Retweet,1
1994_preethi,Tweet,1
1ranjeetsinghrs,Tweet,1
2017Rakesh,Tweet,1
2017parth,Tweet,1
2017sharvan,Tweet,1
20_vansh,Tweet,1
2Sittu,Tweet,1
2peehu,Tweet,1
2vohrasan,Tweet,1
420Madhusudhan,Retweet,1
420Madhusudhan,Tweet,1
46vkumar,Retweet,2
504SumeruThapa,Retweet,27
504SumeruThapa,Tweet,1
5eFn4MxTeo5IxHl,Retweet,1
6Chandrashekar,Tweet,1
7814025926sarab,Tweet,1
7888431795mohi,Tweet,1
8194806886gur,Tweet,1
8195850677mohan,Tweet,1
8284018233man,Tweet,1
830ad47befea46e,Retweet,1
830ad47befea46e,Tweet,1
8437112232sarb,Tweet,1
873e0fcc00e449d,Tweet,1
8968250550raman,Tweet,1
9216224110Sneh,Tweet,1
9217925926manin,Retweet,1
9217925926manin,Tweet,1
9417066350harj,Tweet,1
9417319003gur,Tweet,1
9417510693dilip,Tweet,1
9463608928suman,Tweet,2
9463973022gur,Tweet,1
94_CSSandeep,Tweet,1
9501547471jugal,Tweet,1
9653069860kiran,Tweet,1
9653292262div,Tweet,1
9780462521suman,Tweet,1
9781375501sur,Tweet,1
980480pappu,Retweet,1
980480pappu,Tweet,1
9814343439gurbh,Tweet,1
9814523192gur,Tweet,1
9814648327param,Tweet,1
9815525954raman,Tweet,1
9855934032sukh,Tweet,1
9872828978deep,Tweet,1
9914878830sarab,Tweet,1
9915699604vikas,Tweet,1
9915861001dahb,Tweet,1
9999068910,Retweet,1
9agoyal,Tweet,1
A3Parashar,Retweet,1
AABB58518873,Retweet,1
AABB58518873,Tweet,1
AAGupta6,Retweet,1
AARTINAGAR14,Tweet,1
AArati771,Tweet,1
ABSSRao1,Tweet,1
ADeepke,Tweet,1
AGAM07699068,Retweet,1
AGAM07699068,Tweet,1
AGAM45098999,Tweet,1
AGAMRAJPUT3,Retweet,1
AGAMRAJPUT3,Tweet,1
AGAMSHAHNGPRS,Retweet,1
AHNAKRISTHA,Tweet,2
AJAGANTPT,Retweet,2
AKASHDEEP0000,Tweet,1
AKASHKU47931067,Tweet,1
AKChaurasiabpl,Retweet,2
AKDevi_db,Tweet,2
AKMallick7,Retweet,1
AKSingh852,Tweet,1
AKiransatsangi,Retweet,14
AKiransatsangi,Tweet,1
AMARKUMARPANDE,Tweet,1
AMARNATH_15,Retweet,1
AMITKUM02100040,Retweet,2
AMITKUM65221795,Tweet,1
AMRITSH36321223,Retweet,1
AM_040389,Retweet,1
AM_040389,Tweet,1
ANANDKU79049701,Retweet,2
ANANTPREM1,Tweet,1
ANANYAPREM1,Tweet,1
ANILSRI27218487,Retweet,2
ANITADE14396875,Retweet,1
ANKITA_0403,Retweet,2
ANKITA_0403,Tweet,1
ANKURKAKKAR12,Tweet,1
ANSHARIYA2015,Tweet,1
ANU8158,Tweet,1
ANUPAMS1710,Tweet,1
ANURAGN40281248,Tweet,1
APGaur,Retweet,1
ARCHANA163JHA,Retweet,1
ARLRao1,Retweet,6
ARadhapyari,Tweet,1
ARoy2684,Retweet,1
ASATYAN54854766,Tweet,1
ASHOKBTC,Tweet,1
ASHOKSA42323342,Tweet,1
ASRCop,Retweet,1
ASRagini2,Retweet,1
ASRagini2,Tweet,1
ASahrama,Retweet,1
ASahrama,Tweet,1
ASaikrishna17,Tweet,1
ASaikrishna20,Tweet,1
ASubhramanyam,Tweet,1
ATOLIPRAKASH321,Tweet,1
AVENUGOPAL1969,Tweet,1
AVINASH10434576,Tweet,1
AVenkateshwar3,Tweet,1
A_BHARATHITPT,Retweet,2
A_Nanavaty,Tweet,1
Aadarsh_sagar,Tweet,1
AadityaChoudhr1,Tweet,1
Aakanksha1406,Tweet,1
Aanand44035663,Tweet,2
Aanchal02081994,Tweet,1
AaoSkjain,Retweet,5
AaradhitaKaler,Tweet,1
AaradhyaGupta8,Tweet,1
AaratSharma,Tweet,1
Aaratb,Retweet,2
AarathVG,Tweet,1
AarathiG,Retweet,1
AarathiG,Tweet,1
AarathiNandyala,Retweet,2
AarathiNandyala,Tweet,1
AaravSoaminagar,Tweet,1
AarnaSrivastava,Retweet,1
Aarti58029901,Tweet,1
Aarti65199869,Tweet,1
AartiChopra1969,Tweet,1
AartiGu38928183,Tweet,1
AartiKhattar2,Tweet,1
AartiSharma1507,Retweet,1
Aarti__saxena,Tweet,1
AarushiMathur2,Retweet,3
AarushiMathur2,Tweet,1
AaryanBajaj1,Retweet,1
AaryanBajaj1,Tweet,1
AashaRa80479165,Tweet,1
AashnaGaur,Tweet,1
Aasthanurag,Tweet,1
AayushC01,Reply,1
AbeerSri2009,Retweet,1
AbeerSri2009,Tweet,1
AbhaGup45329457,Retweet,1
AbhaMathur4,Tweet,1
Abhay1937,Tweet,1
AbhayKantGupta3,Tweet,1
AbhayKu52108040,Tweet,1
Abhi370uk,Tweet,1
Abhijee72215175,Tweet,1
Abhijee98033567,Tweet,1
AbhijeetSandhu3,Retweet,1
Abhijim77,Tweet,1
Abhilas20551862,Tweet,1
Abhilas68787093,Retweet,2
AbhinavBansiwa1,Retweet,1
AbhinavS_S,Retweet,1
AbhiruchiAnjan1,Tweet,1
Abhishe00825405,Tweet,1
Abhishe25642286,Retweet,2
Abhishe88651864,Tweet,1
Abhishe95313636,Tweet,1
Abhishe97013275,Retweet,1
Abhishek202037,Retweet,1
Abhishek202037,Tweet,1
AbhishekViewly,Tweet,1
Abhishek_k_,Retweet,2
Abhishek_k_,Tweet,1
AchalMogla,Tweet,1
AchalNihar,Tweet,1
AchalSadhna,Tweet,1
AchalWalia,Tweet,1
Achalasingh4,Tweet,1
AchintDua,Tweet,1
AchintNarain,Tweet,1
AchintSatsangi1,Tweet,1
Achintgarg1,Retweet,1
Achintgarg1,Tweet,3
Achintsatsangi,Retweet,1
AdanbaghB,Retweet,1
Adarsh45399722,Tweet,1
AdarshK15007302,Tweet,1
AdarshS03915152,Retweet,1
Adbhuti,Tweet,1
Adbhuti1,Tweet,1
Adesh1008,Tweet,1
AdeshKumari1,Tweet,1
AdeshRoshan,Tweet,1
AdharSant,Retweet,1
AditiGarg1234,Retweet,1
AditiGarg1234,Tweet,1
AditiGu93690165,Retweet,1
AdityaChaganti8,Retweet,1
AdityaS46035897,Tweet,1
AdityaTalwar8,Tweet,1
AdityachauhanR,Retweet,1
AdvayArora,Retweet,2
AdvayGugliani,Tweet,1
Agam21474514,Retweet,39
AgamAgammehra,Tweet,1
AgamChaitanya,Retweet,1
AgamChaitanya,Tweet,1
AgamGarg7,Tweet,1
AgamKSrivastav1,Tweet,1
AgamKap,Tweet,1
AgamKum69505197,Tweet,2
AgamKushwaha4,Tweet,1
AgamPoonam,Retweet,2
AgamPrakash10,Retweet,1
AgamSaran10,Retweet,1
AgamSaran6,Retweet,1
AgamSaxena10,Tweet,1
AgamSha75435211,Tweet,1
AgamSha77862143,Tweet,1
AgamSha94970603,Retweet,1
AgamSha94970603,Tweet,1
AgamSrivastav12,Retweet,1
AgamVerma11,Retweet,2
AgamVerma13,Tweet,1
Agam_4747,Tweet,1
Agamkapoor10,Retweet,1
Agamsaroop84,Tweet,1
Agamsatsangi1,Retweet,1
Agamsharan2,Retweet,4
Agamv2009,Tweet,1
Agamyadav13,Tweet,1
AgarwalArsh,Tweet,1
Agent_Mcadam,Retweet,1
AggarwaSharan,Tweet,1
AggarwalBodh,Tweet,1
AhBasudeo,Retweet,1
AhluwaliaDev,Tweet,1
AhluwaliaRani,Tweet,1
Aishwar51670654,Retweet,1
AishwaryaKumaw1,Reply,1
Aishwaryav99,Tweet,1
AjaiKum84232500,Tweet,1
AjaibSaroop,Tweet,1
Ajanakirani1,Tweet,1
AjarPrakash1,Tweet,1
Ajay51596487,Tweet,1
Ajay521,Retweet,1
AjayAhuja5870,Tweet,1
AjayBha74088082,Retweet,1
AjayBhutani7,Retweet,1
AjayBhutani7,Tweet,2
AjayKir32880043,Retweet,1
AjayKum16488559,Retweet,1
AjayKum21548591,Tweet,2
AjaySha89436228,Tweet,1
AjaySin68571291,Retweet,1
Ajaybhatnagar64,Tweet,1
Ajaygupta_rs,Retweet,1
Ajaypra67163321,Retweet,1
Ajaysha53209962,Retweet,1
Ajeet88104070,Tweet,1
AjetMathur,Tweet,1
AjitSri21287378,Tweet,1
Ajitkm137,Tweet,1
Ajitpra25804038,Retweet,1
Akanksh64830765,Tweet,2
Akash9211Saini,Tweet,1
AkashGhai3,Retweet,1
AkashSa41998945,Tweet,1
AkellaChaitanya,Tweet,1
AkellaSuparna,Tweet,1
AkhilMistry3,Retweet,6
AkhilMistry3,Tweet,2
AkhilaMandapati,Retweet,1
Akhilabareddy,Tweet,1
Akhiles95567577,Retweet,1
AkhileshNigam18,Retweet,1
AkhileshNigam18,Tweet,1
Akhilesh_RS,Retweet,1
Akhilesh_RS,Tweet,1
AkleshY21026188,Tweet,1
AksharGrover,Tweet,1
AkshatM79184957,Tweet,1
AkshatSatsangi,Tweet,1
Akshay58953572,Retweet,1
AkshayK12727116,Tweet,1
AkshayS09963442,Tweet,1
AkshayS76998888,Retweet,1
Alakh2108,Tweet,1
Alakh59830015,Tweet,1
AlakhKumar2009,Retweet,1
AlakhMy,Retweet,1
AlakhMy,Tweet,1
AlakhSharma9,Retweet,1
AlakhSharma9,Tweet,1
AlakhShri,Retweet,2
AlakhSwaroop,Tweet,2
AlakhTalwar,Retweet,5
Alishakishore,Retweet,6
Alishakishore,Tweet,1
Alivelu12,Retweet,1
Alka27131985,Retweet,5
Alka57344818,Retweet,1
Alka9690,Retweet,1
AlkaDhawan2,Reply,1
AlkaSri77813015,Retweet,1
AlkaSri77813015,Tweet,2
AlkaSri78001230,Tweet,1
Alkaahuja14,Tweet,1
Alkha45450703,Tweet,1
AllamrajuSumira,Tweet,2
AlluriLalitha,Retweet,1
AlluriLalitha,Tweet,1
Alok8172,Retweet,1
AlokAmar1,Tweet,1
AlokAmar3,Tweet,1
AlokNig36508557,Tweet,2
AlokPChopraRN,Tweet,1
AlokSharanShri,Tweet,1
AlpanaShrivast2,Tweet,1
Amal96257242,Retweet,1
AmalSatsangi1,Retweet,1
Aman01690461,Tweet,1
AmanKetu9876,Tweet,1
AmanKum84641443,Tweet,1
AmanSah2017,Retweet,58
AmanSah2017,Tweet,1
AmanSheel,Tweet,1
Amanarshsara,Tweet,1
Amandeesing,Retweet,1
Amanraj29090566,Tweet,1
AmarMan2015,Retweet,6
AmarMan2015,Tweet,1
AmarRajKalam1,Retweet,1
AmarSin90765064,Tweet,1
Amaresh00227834,Tweet,1
Amarjit79721898,Tweet,2
Amarnad25027756,Tweet,1
Amarnat78791080,Retweet,1
Ambika61280037,Retweet,1
Ambika61280037,Tweet,1
AmbikaSrivast17,Tweet,1
AmbikaY96315367,Tweet,1
AmbitiousSumir,Tweet,1
AmbrishKumarG10,Reply,1
AmeeSuri,Tweet,1
Ameebhatia04,Tweet,1
Amesh9Meena,Tweet,1
Amesh9amesh,Tweet,1
Ami45195972,Tweet,1
AmiSatsangi,Retweet,1
Ami_Aarti,Tweet,1
Amirtha76453202,Tweet,1
AmishaSrivast18,Tweet,1
Amit19983025,Tweet,1
Amit69981391,Retweet,1
Amit82373876,Tweet,1
AmitBha58199238,Tweet,1
AmitGoyal7194,Tweet,1
AmitGup08594029,Tweet,1
AmitGupta150919,Tweet,1
AmitKum35250729,Tweet,1
AmitKum52300696,Tweet,1
AmitKum72965785,Retweet,1
AmitKum83093230,Retweet,3
AmitKum89630186,Tweet,1
AmitKumarSatsa1,Retweet,1
AmitMah54360473,Tweet,1
AmitMidha3,Tweet,1
AmitPrasad1611,Tweet,1
AmitSha12990593,Retweet,1
AmitSha42443159,Retweet,1
AmitVer94755269,Retweet,1
AmitaBhatia20,Tweet,1
AmitaKulshresh3,Tweet,1
AmitaKumar15,Tweet,1
AmitaKushwaha4,Tweet,1
AmitaMehta17,Tweet,1
AmitaRani7,Tweet,1
Amitash15230443,Retweet,1
Amitash15230443,Tweet,1
Amitasr03737089,Retweet,1
Amitatiwari09,Retweet,1
Amitgup55725269,Retweet,1
Amitmal07788166,Tweet,1
Amits1265,Tweet,1
AmiyawalaS,Tweet,1
AmmaSavitri,Tweet,1
Amodpandey19,Tweet,1
Amol41146853,Retweet,1
Amol57378858,Retweet,1
AmolAnand1,Tweet,1
AmoliSatsangi,Retweet,1
AmoliSatsangi,Tweet,1
AmrendraDEI,Tweet,1
AmritGupta1234,Tweet,1
AmritPr78923949,Tweet,1
AmritSakhi,Retweet,1
AmritSwarup,Retweet,1
AmritSwarup,Tweet,1
Amrita1113,Tweet,1
AmritaChoudha17,Retweet,3
AmritaK87089815,Tweet,1
AmritaMadhavi,Retweet,1
Amritlal2007,Retweet,1
Amritsakhi1gma1,Tweet,1
AmrutaSatsangi,Tweet,1
AmruthaPreethi,Tweet,1
AmshikRavat,Reply,1
Anadika31,Tweet,1
AnahadKhare,Tweet,1
AnahadP,Reply,1
AnahadSatsangi,Tweet,2
AnamiNaina,Tweet,1
Anamikadipa,Retweet,1
Anamikadipa,Tweet,1
Anand08501248,Retweet,1
AnandChopra12,Retweet,6
AnandChopra12,Tweet,1
AnandGu69370972,Retweet,4
AnandGu69370972,Tweet,1
AnandKSaxena2,Tweet,1
AnandKi02207010,Retweet,4
AnandKi02207010,Tweet,3
AnandKishor1915,Retweet,1
AnandKu80036721,Retweet,1
AnandKumarKum18,Retweet,1
AnandMo15946334,Retweet,2
AnandNavaria,Tweet,1
AnandPr25540982,Tweet,1
AnandPr43591013,Retweet,1
AnandPr92187072,Retweet,1
AnandPyary,Tweet,1
AnandSharan1501,Tweet,1
AnandSinghal21,Tweet,1
AnandSohsa,Tweet,2
AnandSw00570623,Retweet,1
AnandSw00570623,Tweet,1
AnandSw12058560,Tweet,1
AnandSw47366513,Tweet,1
AnandSw91037670,Retweet,1
AnandSwaroopGu3,Tweet,1
AnandarauV,Tweet,1
Anandkh43821713,Tweet,1
Anandkishori,Retweet,47
Anandkishori,Tweet,1
Anandkumarrkl,Tweet,1
Anandre46436950,Tweet,1
Anandsarup4,Retweet,1
Anandsawarkar1,Tweet,1
Anandsw92809240,Retweet,1
AnantModgil,Tweet,1
AnantParashar10,Retweet,1
AnantSpandey,Tweet,2
Ananta18237578,Tweet,1
AnapoornaG,Tweet,1
AnayaStuti,Tweet,1
AnchalArya9,Tweet,1
AnchalV58461075,Tweet,1
Aneesha16101974,Tweet,1
AnejaBelu,Retweet,1
AnejaPbn,Tweet,1
AnhadBhatia,Tweet,1
AnhadSi34316639,Tweet,1
Anhadgrover9263,Tweet,1
AniketKhullar,Retweet,6
AniketKhullar,Tweet,1
AniketSah_db,Tweet,1
Aniketadanbagh,Retweet,1
Anil19081966,Tweet,1
Anil59079286,Tweet,1
Anil93404,Tweet,1
Anil94197115,Tweet,1
AnilAna41729588,Tweet,1
AnilKm137,Tweet,1
AnilKum13261919,Reply,1
AnilKum40007657,Tweet,1
AnilKum49374594,Tweet,1
AnilKum60311304,Tweet,1
AnilKum76068314,Tweet,1
AnilKum9696555,Retweet,1
AnilKum9696555,Tweet,1
AnilKumar160354,Tweet,1
AnilKumar881010,Retweet,1
AnilKumarSatsa1,Retweet,1
AnilMehla8,Retweet,1
AnilSha67584477,Retweet,1
AnilSha67584477,Tweet,1
Anilkum25930237,Tweet,1
Anilkumar2113,Retweet,5
Anilkumar2113,Tweet,2
Anilmehto1,Retweet,1
AnimalsArt,Tweet,1
Anishku07756528,Tweet,1
Anita75229838,Tweet,1
AnitaAnita4664,Tweet,1
AnitaCh94644895,Retweet,1
AnitaDe53613424,Tweet,1
AnitaGu19616861,Retweet,1
AnitaKhanna72,Tweet,2
AnitaKhare2,Tweet,1
AnitaPa21524092,Retweet,1
AnitaSain7,Tweet,1
AnitaSatsangi,Tweet,1
AnitaSh2211,Tweet,1
AnitaSh68038972,Tweet,1
AnitaSi87924729,Retweet,1
AnitaYa87182552,Retweet,1
AnitaYa87182552,Tweet,1
Anitabalan3,Tweet,1
Anitha2207P,Tweet,1
AnjaliG84731881,Retweet,1
AnjaliG84731881,Tweet,1
AnjaliG95468414,Retweet,1
AnjaliK15897920,Retweet,2
AnjaliK15897920,Tweet,1
AnjaliMandal10,Retweet,2
AnjaliMandal10,Tweet,1
AnjaliPrabha2,Tweet,1
AnjaliPrakash18,Reply,1
AnjaliPrakash18,Tweet,1
AnjaliR80975757,Tweet,1
AnjaliS21083022,Tweet,1
Anjali_Pal_KGP,Reply,1
AnjanaSewal,Tweet,1
AnjaneeSingh10,Tweet,1
AnjaniS96413345,Tweet,1
Anjaykoomar1,Retweet,1
Anju40052560,Retweet,1
Anju98390420,Retweet,1
AnjuBal41830174,Tweet,1
AnjuCha19343453,Tweet,1
AnjuGup20431142,Tweet,1
AnjuSaxena5,Tweet,1
AnjuShrivastav7,Retweet,3
AnjuThamman,Retweet,1
AnkiGupta2015,Tweet,1
Ankit78242599,Retweet,1
AnkitCh882,Tweet,1
AnkitSatsangi8,Tweet,1
AnkitTayal17,Tweet,2
AnkitTi27163367,Tweet,1
Ankita0601,Tweet,1
Ankita08272027,Retweet,1
Ankita55616707,Reply,1
AnkitaM06557527,Tweet,1
AnkitaMandloi4,Tweet,1
Ankitab50332449,Retweet,1
AnkurGupta2188,Tweet,1
AnkurJo73976765,Tweet,1
AnkurSachdev1,Retweet,1
Ankush05717730,Tweet,1
Anmol1281999,Retweet,1
Anmol14062010,Tweet,1
Anmolsaggar5,Tweet,1
Annapur37137687,Tweet,1
AnnapurnaSat3,Tweet,1
Annpurnagupta,Tweet,1
Annu90645766,Tweet,1
Anoop43048131,Tweet,1
AnoopKu74155589,Reply,5
AnoopKu74155589,Retweet,2
AnoopKu74155589,Tweet,2
AnoopNipun,Retweet,1
AnoopPrasad20,Tweet,1
AnoopSi00275816,Tweet,1
AnoopSinha5,Retweet,1
AnoopSinha5,Tweet,1
AnoopSinha7,Tweet,1
Anoopsewak3,Tweet,1
AnshAroralokesh,Tweet,1
AnshiRadhakris,Tweet,1
AnshimaPaul,Tweet,1
Anshu62108297,Retweet,12
AnshuBhatnagar8,Tweet,1
Anshuk28216121,Retweet,1
AnshumanShriva7,Retweet,1
AntaLadla,Tweet,1
AntarjamiSeth,Tweet,1
AntuleMukesh,Tweet,1
Anu72851877,Retweet,3
AnuBrodia,Tweet,3
AnuGupt14845771,Tweet,2
Anu_Satsangi,Retweet,1
Anubhav_rs21,Retweet,1
Anubhav_rs21,Tweet,1
AnubhutiPankaj,Retweet,1
AnugyaKhurana,Retweet,1
AnujGup22240168,Retweet,1
AnujKadwal,Tweet,1
AnujSriDEI2005,Tweet,1
AnunayK62721481,Tweet,1
AnupDevi,Tweet,1
AnupGup87948730,Retweet,1
AnupSri95577133,Retweet,2
Anupam148,Tweet,1
AnupamBaranwal3,Tweet,1
AnupamBaranwal4,Tweet,1
AnupamGrover17,Retweet,41
AnupamGrover17,Tweet,3
Anupcaprihan11,Retweet,1
Anupriy17238837,Tweet,2
Anuradh35310819,Retweet,2
Anuradh35310819,Tweet,1
Anuradh75196231,Tweet,1
AnuradhaAgarw16,Tweet,4
AnuradhaBatra4,Tweet,1
AnuradhaKausha4,Tweet,1
AnuradhaMehta3,Retweet,1
AnuradhaMehta3,Tweet,1
Anurag22227441,Retweet,1
Anurag22227441,Tweet,1
Anurag61261636,Retweet,4
Anurag61261636,Tweet,1
Anurag681,Tweet,1
AnuragADND,Tweet,1
AnuragG87532205,Retweet,1
AnuragG87532205,Tweet,1
AnuragGrover99,Tweet,1
AnuragP56727551,Tweet,1
Anurag_dei,Retweet,2
Anurag_dei,Tweet,1
Anuragprasadjin,Tweet,1
Anurags36812971,Tweet,1
AnurupaRaijada,Tweet,1
Anusah10,Retweet,2
Anusah10,Tweet,1
Anushar64527382,Tweet,1
Anushka47293170,Tweet,1
AparBhatnagar,Tweet,1
AparMogla,Tweet,1
Aparna1974,Retweet,1
Aparna1Prasad,Tweet,1
AparnaAgam,Tweet,1
AppayammaV,Retweet,1
AppayammaV,Tweet,1
Aradhan75079979,Retweet,1
Aradhan75079979,Tweet,1
AradhyaChopra,Retweet,1
AradhyaChopra,Tweet,1
AratiSatsangi,Retweet,1
Archana01171005,Retweet,1
Archana09641736,Retweet,1
Archana09641736,Tweet,2
Archana14090493,Retweet,2
Archana43998469,Retweet,1
Archana83913962,Retweet,1
ArchanaRSDB,Retweet,1
ArchanaSatsang2,Tweet,1
ArchanaSingh_db,Tweet,1
Archana_P17,Tweet,1
Archanagarg18,Tweet,1
Archanasri1961,Retweet,1
ArchieGarg1907,Tweet,1
ArchitS95369357,Retweet,2
ArchitaSatsangi,Retweet,1
ArchitaSatsangi,Tweet,1
ArigapudiRa,Retweet,2
ArjSatsangi,Tweet,1
Arjita1111,Tweet,1
ArjunPoddar4,Retweet,1
ArjunSh97187062,Tweet,1
ArnavShrivastv,Tweet,1
Arpan35651179,Tweet,1
ArpanKayastha2,Retweet,1
ArpitMa92567567,Tweet,1
ArpitaHaranad,Retweet,1
ArpitaK14834935,Tweet,1
Arraju768,Tweet,1
ArshChauhan7,Tweet,1
ArshDei,Retweet,1
ArshDogra1989,Retweet,1
ArshikaDhall,Retweet,1
ArshikaDhall,Tweet,1
ArshitaDiwan,Tweet,1
Arshkhanna13,Tweet,1
Arti85380486,Retweet,1
ArtiNayyar,Retweet,1
ArtiPbn,Tweet,1
ArtiPyari1,Tweet,1
ArtiSehgal1,Tweet,1
ArtiSingh540,Tweet,1
ArtiVer73315485,Retweet,1
ArtiVer88777555,Retweet,1
Artimalhotra10,Tweet,1
Artimalhotra14,Tweet,2
Artisingh_pv,Retweet,1
Arun34430919,Tweet,1
ArunBhandari25,Tweet,1
ArunBhatkar8,Tweet,1
ArunCho30093985,Tweet,1
ArunDeo6,Tweet,1
ArunGup12503124,Tweet,1
ArunGup84916926,Retweet,1
ArunGup84916926,Tweet,1
ArunKap85043163,Tweet,1
ArunKum64021985,Retweet,2
ArunKum64021985,Tweet,1
ArunPGoyal,Tweet,1
ArunShastri6,Tweet,1
Aruna44047064,Tweet,1
Aruna_Rani1973,Tweet,1
Arunaagarwal11,Retweet,2
