handle,Reply,Retweet,Tweet,#tweets,#followers,#friends,Joining Date
004Satsangi,0,0,1,1,2,0,Sun May 14 04:08:23 2017
017abhishek,0,1,0,6,0,0,Sun May 14 02:51:19 2017
04_prati,0,0,1,1,2,0,Sat May 13 16:32:43 2017
095pooja,0,2,0,4,4,23,Mon May 15 06:28:12 2017
09Sameertiwari,0,0,1,2,0,1,Sun May 14 01:59:47 2017
100bhutani,0,1,0,16,0,1,Sun May 14 07:58:10 2017
1203_priyanka,0,0,1,1,6,17,Tue May 09 07:51:13 2017
12345Apoorva,0,0,1,24,51,61,Wed Sep 24 06:49:34 2014
1234Shantighosh,0,0,1,4,2,20,Sat May 13 06:50:31 2017
18_rajeswari,0,0,1,1,0,0,Thu May 11 15:14:00 2017
1939rks,0,0,1,1,0,2,Sat May 13 11:27:01 2017
1982sanjeev2,0,0,1,1,0,3,Mon May 08 14:12:23 2017
1987Saran,0,1,0,29,74,125,Wed Feb 18 12:25:16 2015
1994_preethi,0,0,1,1,1,20,Thu May 11 15:05:43 2017
1ranjeetsinghrs,0,0,1,1,1,20,Sat May 13 04:17:47 2017
2017Rakesh,0,0,1,1,0,2,Sun May 14 03:18:51 2017
2017parth,0,0,1,1,0,2,Sun May 14 05:38:24 2017
2017sharvan,0,0,1,1,0,0,Sun May 14 06:28:51 2017
20_vansh,0,0,1,1,1,0,Sun May 14 06:13:20 2017
2Sittu,0,0,1,1,5,22,Sat May 13 08:22:00 2017
2peehu,0,0,1,1,0,0,Sun May 14 04:28:56 2017
2vohrasan,0,0,1,3,0,0,Sat May 13 23:02:44 2017
420Madhusudhan,0,1,1,2,1,21,Sat May 13 17:20:08 2017
46vkumar,0,2,0,24,2,2,Sun May 14 09:06:09 2017
504SumeruThapa,0,27,1,29,4,21,Sat May 13 16:52:02 2017
5eFn4MxTeo5IxHl,0,1,0,1353,30,579,Fri Jan 20 20:47:38 2017
6Chandrashekar,0,0,1,1,0,0,Sun May 14 13:36:45 2017
7814025926sarab,0,0,1,1,0,40,Thu May 11 10:08:29 2017
7888431795mohi,0,0,1,1,0,40,Tue May 16 15:21:44 2017
8194806886gur,0,0,1,1,0,30,Fri May 12 09:47:03 2017
8195850677mohan,0,0,1,1,2,60,Thu May 11 15:37:51 2017
8284018233man,0,0,1,1,1,21,Thu May 11 07:33:30 2017
830ad47befea46e,0,1,1,184,105,126,Mon Sep 08 16:10:02 2014
8437112232sarb,0,0,1,1,1,30,Thu May 11 15:21:52 2017
873e0fcc00e449d,0,0,1,4,0,3,Sun May 14 13:54:49 2017
8968250550raman,0,0,1,1,0,30,Thu May 11 13:08:10 2017
9216224110Sneh,0,0,1,1,2,40,Thu May 11 13:35:05 2017
9217925926manin,0,1,1,2,0,29,Thu May 11 10:02:22 2017
9417066350harj,0,0,1,1,0,21,Thu May 11 10:37:21 2017
9417319003gur,0,0,1,1,3,60,Thu May 11 15:33:25 2017
9417510693dilip,0,0,1,2,0,40,Thu May 11 08:06:55 2017
9463608928suman,0,0,2,1,0,30,Thu May 11 10:51:11 2017
9463973022gur,0,0,1,2,1,50,Fri May 12 09:53:14 2017
