handle,ID String,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age,Score-English,Score-Universal,Score-Network,Score-Content,Score-Sentiment,Score-Temporal,Score-Friend,Score-User
004Satsangi,863606896489517056,1,0,0,1,1,2,0,Sun May 14 04:08:23 2017,1.0,0.96,0.789786602043,0.840246053348,0.97,0.361346662576,0.787951843463,0.793147133651,0.783886357497
017abhishek,863587500882898944,0,1,0,1,6,0,0,Sun May 14 02:51:19 2017,0.166666666667,0.64,0.55,0.472833333333,0.77,0.72,0.696173308427,0.57,0.57
04_prati,863431825401798656,1,0,0,1,1,2,0,Sat May 13 16:32:43 2017,1.0,0.93,0.789786602043,0.840246053348,0.9,0.91,0.787951843463,0.793147133651,0.783886357497
095pooja,864004466827116544,0,2,0,2,4,4,23,Mon May 15 06:28:12 2017,0.5,0.72,0.73,0.989090909091,0.78,0.67,0.925550081708,0.59,0.77
09Sameertiwari,863574532338188288,1,0,0,1,2,0,1,Sun May 14 01:59:47 2017,0.5,0.64,0.312639318885,0.803186734523,0.55,0.361346662576,0.98,0.793147133651,0.49
100bhutani,863664722041819136,0,1,0,1,16,0,1,Sun May 14 07:58:10 2017,0.0625,0.78,0.55,0.75,0.8,0.59,0.833473908647,0.88,0.778888214364
1203_priyanka,861851031231057920,1,0,0,1,1,6,17,Tue May 09 07:51:13 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
12345Apoorva,2829432451,1,0,0,1,24,51,61,Wed Sep 24 06:49:34 2014,0.0416666666667,0.75,0.4,0.45,0.67,0.76,0.58,0.61,0.69
1234Shantighosh,863285309156585473,1,0,0,1,4,2,20,Sat May 13 06:50:31 2017,0.25,0.74,0.43,0.840246053348,0.91,0.92,0.94,0.793147133651,0.36
18_rajeswari,862687236768313344,1,0,0,1,1,0,0,Thu May 11 15:14:00 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
1939rks,863354890415783936,1,0,0,1,1,0,2,Sat May 13 11:27:01 2017,1.0,0.87,0.789786602043,0.840246053348,0.8,0.803684210526,0.787951843463,0.793147133651,0.783886357497
1982sanjeev2,861584568171642881,1,0,0,1,1,0,3,Mon May 08 14:12:23 2017,1.0,0.83,0.789786602043,0.840246053348,0.53,0.87,0.787951843463,0.793147133651,0.783886357497
1987Saran,3025755481,0,1,0,1,29,74,125,Wed Feb 18 12:25:16 2015,0.0344827586207,0.46,0.22,0.06,0.41,0.43,0.41,0.24,0.28
1994_preethi,862685154053107714,1,0,0,1,1,1,20,Thu May 11 15:05:43 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
1ranjeetsinghrs,863246873158721536,1,0,0,1,1,1,20,Sat May 13 04:17:47 2017,1.0,0.96,0.789786602043,0.840246053348,0.97,0.361346662576,0.787951843463,0.793147133651,0.783886357497
2017Rakesh,863594429214474240,1,0,0,1,1,0,2,Sun May 14 03:18:51 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
2017parth,863629548549660672,1,0,0,1,1,0,2,Sun May 14 05:38:24 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
2017sharvan,863642245899010048,1,0,0,1,1,0,0,Sun May 14 06:28:51 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
20_vansh,863638339995320320,1,0,0,1,1,1,0,Sun May 14 06:13:20 2017,1.0,0.85,0.789786602043,0.840246053348,0.98,0.18,0.787951843463,0.793147133651,0.783886357497
2Sittu,863308330839801856,1,0,0,1,1,5,22,Sat May 13 08:22:00 2017,1.0,0.87,0.802473983275,0.797621863222,0.97,0.361346662576,0.787951843463,0.69,0.783886357497
2peehu,863612064643686400,1,0,0,1,1,0,0,Sun May 14 04:28:56 2017,1.0,0.88,0.789786602043,0.840246053348,0.91,0.361346662576,0.787951843463,0.793147133651,0.783886357497
2vohrasan,863529976796241920,1,0,0,1,3,0,0,Sat May 13 23:02:44 2017,0.333333333333,0.77,0.58,0.802706715068,0.88,0.68,0.96,0.793147133651,0.15
420Madhusudhan,863443755742879744,1,1,0,2,2,1,21,Sat May 13 17:20:08 2017,1.0,0.65,0.53,0.880790820499,0.74,0.713440514469,0.787951843463,0.73,0.65
46vkumar,863681830746062849,0,2,0,2,24,2,2,Sun May 14 09:06:09 2017,0.0833333333333,0.49,0.57,0.8,0.58,0.67,0.7,0.35,0.49
504SumeruThapa,863436687547916288,1,27,0,28,29,4,21,Sat May 13 16:52:02 2017,0.965517241379,0.62,0.5,0.38,0.55,0.59,0.601063102819,0.5,0.59
5eFn4MxTeo5IxHl,822546145947910150,0,1,0,1,1353,30,579,Fri Jan 20 20:47:38 2017,0.000739098300074,0.46,0.46,0.61,0.43,0.4,0.58,0.69,0.87
6Chandrashekar,863749928824320000,1,0,0,1,1,0,0,Sun May 14 13:36:45 2017,1.0,0.56,0.789786602043,0.840246053348,0.75,0.361346662576,0.787951843463,0.793147133651,0.783886357497
7814025926sarab,862610353791811584,1,0,0,1,1,0,40,Thu May 11 10:08:29 2017,1.0,0.97,0.789786602043,0.840246053348,0.83,0.87,0.787951843463,0.793147133651,0.783886357497
7888431795mohi,864501124388200449,1,0,0,1,1,0,40,Tue May 16 15:21:44 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
8194806886gur,862967346566053888,1,0,0,1,1,0,30,Fri May 12 09:47:03 2017,1.0,0.99,0.789786602043,0.840246053348,0.98,0.361346662576,0.787951843463,0.793147133651,0.783886357497
8195850677mohan,862693242466312192,1,0,0,1,1,2,60,Thu May 11 15:37:51 2017,1.0,0.79,0.789786602043,0.840246053348,0.89,0.72,0.787951843463,0.793147133651,0.783886357497
8284018233man,862571348182388736,1,0,0,1,1,1,21,Thu May 11 07:33:30 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
830ad47befea46e,2798147694,1,1,0,2,184,105,126,Mon Sep 08 16:10:02 2014,0.0108695652174,0.31,0.28,0.2,0.54,0.29,0.51,0.35,0.25
8437112232sarb,862689217285046273,1,0,0,1,1,1,30,Thu May 11 15:21:52 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
873e0fcc00e449d,863754477467074570,1,0,0,1,4,0,3,Sun May 14 13:54:49 2017,0.25,0.44,0.57,0.840246053348,0.23,0.361346662576,0.71,0.793147133651,0.44
8968250550raman,862655572386095104,1,0,0,1,1,0,30,Thu May 11 13:08:10 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
9216224110Sneh,862662346472280064,1,0,0,1,1,2,40,Thu May 11 13:35:05 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
9217925926manin,862608812506628098,1,1,0,2,2,0,29,Thu May 11 10:02:22 2017,1.0,0.81,0.57,0.775604697263,0.65,0.81,0.787951843463,0.34,0.55
9417066350harj,862617618892472322,1,0,0,1,1,0,21,Thu May 11 10:37:21 2017,1.0,0.97,0.789786602043,0.840246053348,0.83,0.87,0.787951843463,0.793147133651,0.783886357497
9417319003gur,862692125447606272,1,0,0,1,1,3,60,Thu May 11 15:33:25 2017,1.0,0.79,0.789786602043,0.840246053348,0.89,0.72,0.787951843463,0.793147133651,0.783886357497
9417510693dilip,862579760110743552,1,0,0,1,2,0,40,Thu May 11 08:06:55 2017,0.5,0.73,0.6,0.840246053348,0.82,0.75,1.0,0.793147133651,0.57
9463608928suman,862621099116216320,2,0,0,2,1,0,30,Thu May 11 10:51:11 2017,2.0,0.92,0.789786602043,0.840246053348,0.83,0.94,0.787951843463,0.793147133651,0.783886357497
9463973022gur,862968901767897088,1,0,0,1,2,1,50,Fri May 12 09:53:14 2017,0.5,0.71,0.57,0.840246053348,0.47,0.361346662576,0.32,0.793147133651,0.6
94_CSSandeep,862681210467831809,1,0,0,1,4,12,140,Thu May 11 14:50:03 2017,0.25,0.785,0.85,0.840246053348,0.88,0.78,0.67,0.793147133651,0.71
9501547471jugal,863038866097192961,1,0,0,1,1,0,60,Fri May 12 14:31:14 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
9653069860kiran,862616112327831552,1,0,0,1,1,0,30,Thu May 11 10:31:22 2017,1.0,0.97,0.789786602043,0.840246053348,0.83,0.87,0.787951843463,0.793147133651,0.783886357497
9653292262div,862643112224722945,1,0,0,1,0,0,0,Thu May 11 12:18:39 2017,inf,0.78,0.67,0.840246053348,0.6,0.89,0.93,0.793147133651,0.76
9780462521suman,862666687845285889,1,0,0,1,1,1,40,Thu May 11 13:52:20 2017,1.0,0.79,0.789786602043,0.840246053348,0.89,0.72,0.787951843463,0.793147133651,0.783886357497
9781375501sur,862691307638071296,1,0,0,1,1,3,30,Thu May 11 15:30:10 2017,1.0,0.88,0.789786602043,0.840246053348,0.83,0.85,0.787951843463,0.793147133651,0.783886357497
980480pappu,863446972216164352,1,1,0,2,2,1,21,Sat May 13 17:32:55 2017,1.0,0.79,0.5,0.797621863222,0.58,0.86,0.787951843463,0.73,0.59
9814343439gurbh,862656094811893760,1,0,0,1,1,1,30,Thu May 11 13:10:15 2017,1.0,0.97,0.789786602043,0.840246053348,0.83,0.87,0.787951843463,0.793147133651,0.783886357497
9814523192gur,862664397256179713,1,0,0,1,1,0,30,Thu May 11 13:43:14 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
9814648327param,862677955197059072,1,0,0,1,1,1,60,Thu May 11 14:37:07 2017,1.0,0.88,0.789786602043,0.840246053348,0.83,0.85,0.787951843463,0.793147133651,0.783886357497
9815525954raman,862605588261257216,1,0,0,1,1,1,30,Thu May 11 09:49:33 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
9855934032sukh,864497987988279296,1,0,0,1,1,1,30,Tue May 16 15:09:16 2017,1.0,0.79,0.789786602043,0.840246053348,0.89,0.72,0.787951843463,0.793147133651,0.783886357497
9872828978deep,862632276445859842,1,0,0,1,0,0,0,Thu May 11 11:35:36 2017,inf,0.97,0.789786602043,0.840246053348,0.83,0.87,0.787951843463,0.793147133651,0.783886357497
9914878830sarab,862601401725100032,1,0,0,1,1,0,30,Thu May 11 09:32:55 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
9915699604vikas,862606629665095681,1,0,0,1,1,0,50,Thu May 11 09:53:41 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
9915861001dahb,862688041600561152,1,0,0,1,1,5,50,Thu May 11 15:17:11 2017,1.0,0.84,0.789786602043,0.840246053348,0.91,0.72,0.787951843463,0.793147133651,0.783886357497
9999068910,862688041600561152,0,1,0,1,30,28,37,Mon Mar 08 14:36:45 2010,0.0333333333333,0.84,0.789786602043,0.840246053348,0.91,0.72,0.787951843463,0.793147133651,0.783886357497
9agoyal,2200012891,1,0,0,1,103,43,24,Sun Nov 17 18:46:30 2013,0.00970873786408,0.46,0.5,0.28,0.62,0.69,0.74,0.44,0.43
