handle,ID String,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age,Score-English,Score-Universal,Score-Network,Score-Content,Score-Sentiment,Score-Temporal,Score-Friend,Score-User
BinitaDevi9,864051785681453057,0,8,0,8,24,0,3,Mon May 15 09:36:13 2017,0.333333333333,0.62,0.53,0.59,0.71,0.52,0.92,0.56,0.63
Binna04441153,863379885586251776,1,0,0,1,1,1,21,Sat May 13 13:06:20 2017,1.0,0.86,0.789786602043,0.840246053348,0.89,0.95,0.787951843463,0.793147133651,0.783886357497
BinnyBeena,863360851608195073,1,0,0,1,1,1,4,Sat May 13 11:50:42 2017,1.0,0.86,0.789786602043,0.840246053348,0.91,0.67,0.787951843463,0.793147133651,0.783886357497
Binod05717260,863639308267393024,1,0,0,1,1,1,71,Sun May 14 06:17:11 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BinodSa177,863432534897549314,1,0,0,1,2,17,41,Sat May 13 16:35:32 2017,0.5,0.83,0.64,1.0,0.77,0.361346662576,0.787951843463,0.22663956148,0.617570093458
BintiVatsa,863366575407194112,1,0,0,1,2,5,0,Sat May 13 12:13:26 2017,0.5,0.78,0.545686212958,0.840246053348,0.95,0.62,0.96,0.793147133651,0.29
BipinKumarSaxe4,863739914281639936,0,1,0,1,15,2,1,Sun May 14 12:56:57 2017,0.0666666666667,0.7,0.6,0.84,0.8,0.54,0.66783919598,0.57,0.55
BipinKumarSriv2,865163982692274176,1,0,0,1,2,2,6,Thu May 18 11:15:42 2017,0.5,0.59,0.57,0.721666666667,0.69,0.69,0.78,0.487,0.46
Birendr19043559,863614050344738816,0,1,0,1,1,0,21,Sun May 14 04:36:49 2017,1.0,0.788571428571,0.758687165775,0.797621863222,0.67,0.361346662576,0.787951843463,0.88,0.783886357497
Birendr80338474,863670053853470720,1,0,0,1,1,1,1,Sun May 14 08:19:21 2017,1.0,0.85,0.787833735569,0.803186734523,0.85,0.67,0.787951843463,0.793147133651,0.783886357497
Birendr89785537,863545836516528128,1,1,0,2,2,1,21,Sun May 14 00:05:46 2017,1.0,0.67,0.53,0.797621863222,0.84,0.88,0.787951843463,0.73,0.52
BirendraP17,862889189557260288,1,0,0,1,1,2,0,Fri May 12 04:36:29 2017,1.0,0.81,0.72,0.779441806516,0.98,0.98,1.0,0.793147133651,0.53
BisaryaSam,863665746408218624,1,0,0,1,1,3,1,Sun May 14 08:02:14 2017,1.0,0.77,0.789786602043,0.840246053348,0.51,0.92,0.787951843463,0.793147133651,0.783886357497
Bishwaj38100529,862324193706127360,1,0,0,1,1,2,24,Wed May 10 15:11:23 2017,1.0,0.56,0.789786602043,0.840246053348,0.75,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Bk73379068,863671707059585024,1,0,0,1,1,2,9,Sun May 14 08:25:56 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BlackMagicHere,37376044,1,0,0,1,3857,80,32,Sun May 03 06:03:05 2009,0.00025926886181,0.27,0.1,0.15,0.32,0.21,0.41,0.25,0.21
BnvrG,863568182564577280,1,0,0,1,1,0,0,Sun May 14 01:34:33 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BnvrGuptha,863568939657424897,1,0,0,1,1,1,0,Sun May 14 01:37:34 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BobbySaran24,863072200252731392,2,0,0,2,14,5,2,Fri May 12 16:43:42 2017,0.142857142857,0.61,0.48,0.72,0.65,0.73,0.62,0.54,0.55
BogReddy,863752337726328833,1,0,0,1,1,0,0,Sun May 14 13:46:19 2017,1.0,0.56,0.789786602043,0.840246053348,0.75,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BongiSahitya,863670392824758272,1,0,0,1,4,0,0,Sun May 14 08:20:42 2017,0.25,0.62,0.73,0.945666666667,0.53,0.72,0.83,0.793147133651,0.37
Bonthusrinivas6,863661264287002625,1,1,0,2,2,0,0,Sun May 14 07:44:26 2017,1.0,0.62,0.522325915291,0.775604697263,0.9,0.361346662576,0.787951843463,0.357956054231,0.475187114735
BpBaranw,863663989770797056,1,0,0,1,1,1,1,Sun May 14 07:55:16 2017,1.0,0.82,0.787833735569,0.803186734523,0.76,0.92,0.787951843463,0.793147133651,0.783886357497
Braham08166106,863636414755418112,1,0,0,1,1,3,66,Sun May 14 06:05:41 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BrahamPNarad,863064459442388992,1,0,0,1,1,8,1,Fri May 12 16:12:56 2017,1.0,0.63,0.789786602043,0.840246053348,0.73,0.83,0.787951843463,0.793147133651,0.783886357497
BrahmPr35347785,863761780442488832,0,1,0,1,17,1,35,Sun May 14 14:23:51 2017,0.0588235294118,0.63,0.53,0.766666666667,0.78,0.58,0.84,0.54,0.61
BrahmPr45254921,863434591201132545,0,2,0,2,19,2,1,Sat May 13 16:43:43 2017,0.105263157895,0.7,0.55,0.82,0.83,0.75,0.88,0.637887906714,0.59
BrahmVikram,862371285283688448,1,1,0,2,2,10,2,Wed May 10 18:18:31 2017,1.0,0.74,0.517222222222,0.797621863222,0.9,0.361346662576,0.787951843463,0.635815162069,0.64
Brahmanayaki2,863557684037013505,1,0,0,1,1,0,20,Sun May 14 00:52:50 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Bramiredy1,863778383863402496,1,0,0,1,1,0,0,Sun May 14 15:29:49 2017,1.0,0.56,0.789786602043,0.840246053348,0.75,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BrhamSingh4,863552242623799297,1,0,0,1,1,0,1,Sun May 14 00:31:13 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BrijArora6,863625319097352193,1,0,0,1,1,2,3,Sun May 14 05:21:36 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BrijBhushanGoy1,863427785611558912,1,0,0,1,1,3,1,Sat May 13 16:16:40 2017,1.0,0.96,0.789786602043,0.840246053348,0.97,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BrijKumarMathu1,863314363217727488,1,0,0,1,2,2,21,Sat May 13 08:45:58 2017,0.5,0.8,0.357619047619,0.803186734523,0.875,0.68,0.94,0.793147133651,0.48
BrijKumarMathu3,863392845201199104,2,0,0,2,3,0,21,Sat May 13 13:57:50 2017,0.666666666667,0.63,0.32,0.803186734523,0.89,0.74,0.93,0.793147133651,0.37
BrijMoh44513769,862679315137384448,1,0,0,1,2,0,1,Thu May 11 14:42:31 2017,0.5,0.71,0.638823529412,0.797621863222,0.75,0.73,0.787951843463,0.88,0.587617021277
Brijesh01121978,863598271645720576,1,0,0,1,1,0,1,Sun May 14 03:34:07 2017,1.0,0.88,0.983532829531,0.802706715068,0.91,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Brijesh21567804,863435977296986113,1,0,0,1,1,6,7,Sat May 13 16:49:13 2017,1.0,0.833333333333,0.789786602043,0.840246053348,0.87,0.86,0.787951843463,0.793147133651,0.783886357497
Brijesh62863219,863617606774915072,1,0,0,1,3,2,22,Sun May 14 04:50:57 2017,0.333333333333,0.63,0.43,0.639499046584,0.8,0.58,0.97,0.793147133651,0.68
Brijesh95312636,863618233571708929,0,1,0,1,18,0,1,Sun May 14 04:53:26 2017,0.0555555555556,0.66,0.56,0.78,0.79,0.57,0.86251672404,0.87,0.58
Brijlalmehta01,863239907346612224,1,2,0,3,28,0,1,Sat May 13 03:50:06 2017,0.107142857143,0.67,0.57,0.38,0.58,0.69,0.59,0.47,0.52
Brijnandan1656,863687637915324416,1,0,0,1,1,0,73,Sun May 14 09:29:14 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
BurnwalRamesh,862324525643558913,1,1,0,2,4,1,20,Wed May 10 15:12:42 2017,0.5,0.6,0.63,0.875341386555,0.62,0.83,0.857566371681,0.665,0.47
BurraJanaki77,862598119002959872,0,1,0,1,1,1,0,Thu May 11 09:19:52 2017,1.0,0.678,0.833519447615,0.797621863222,0.58,0.593440514469,0.787951843463,0.7,0.783886357497
ButaG5,863621535243882496,1,0,0,1,1,0,22,Sun May 14 05:06:34 2017,1.0,0.9,0.789786602043,0.840246053348,0.98,0.76,0.787951843463,0.793147133651,0.783886357497
ButtaSi18544508,863619778300325888,1,0,0,1,1,7,29,Sun May 14 04:59:35 2017,1.0,0.59,0.789786602043,0.840246053348,0.31,0.76,0.787951843463,0.793147133651,0.783886357497
CARakeshNarang1,863618946825687040,1,0,0,1,2,5,1,Sun May 14 04:56:17 2017,0.5,0.69,0.32,0.765439788732,0.79,0.84,0.71,0.793147133651,0.44
CAarathi,864005578137448448,1,1,0,2,2,0,0,Mon May 15 06:32:37 2017,1.0,0.63,0.53,0.775604697263,0.9,0.361346662576,0.787951843463,0.357956054231,0.427617021277
CChandrakantham,863418258090844164,1,0,0,1,1,0,0,Sat May 13 15:38:49 2017,1.0,0.56,0.789786602043,0.840246053348,0.75,0.361346662576,0.787951843463,0.793147133651,0.783886357497
CGS_Tech,747972277849980928,0,1,0,1,30867,8377,8241,Wed Jun 29 01:57:42 2016,3.23970583471e-05,0.73,0.53,0.59,0.5,0.56,0.09,0.62,0.5
CHAITAN59930671,863575865526898688,0,1,0,1,13,0,21,Sun May 14 02:05:05 2017,0.0769230769231,0.78,0.59,0.77,0.78,0.76,0.651727289024,0.7,0.691547409429
CHANDAN71085999,864835542592229376,0,1,0,1,17,0,0,Wed May 17 13:30:36 2017,0.0588235294118,0.55,0.55,0.81,0.57,0.65,0.88,0.55,0.58
CHARAN2BTC,863358376050393090,1,0,0,1,1,0,21,Sat May 13 11:40:52 2017,1.0,0.97,0.789786602043,0.840246053348,0.92,0.973333333333,0.787951843463,0.793147133651,0.783886357497
CHARANBTC,863356226893004801,1,0,0,1,1,0,21,Sat May 13 11:32:19 2017,1.0,0.93,0.789786602043,0.840246053348,0.88,0.86,0.787951843463,0.793147133651,0.783886357497
CHINNA97381494,864066385827307520,1,1,0,2,2,0,0,Mon May 15 10:34:14 2017,1.0,0.58,0.51,0.775604697263,0.9,0.361346662576,0.787951843463,0.357956054231,0.477617021277
CHPrasa48969041,863741705257984000,1,0,0,1,1,0,0,Sun May 14 13:04:04 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
CHPrasa51699995,863743087931273216,1,0,0,1,1,0,0,Sun May 14 13:09:34 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
CHVRamanarao1,863567282378874880,1,0,0,1,1,2,20,Sun May 14 01:30:59 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
CHlakshmanarao1,863563971588112384,1,0,0,1,1,0,0,Sun May 14 01:17:49 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
CMShrivastava1,863420147586834432,0,2,0,2,31,3,1,Sat May 13 15:46:19 2017,0.0645161290323,0.69,0.62,0.87,0.81,0.79,0.87,0.86,0.57
CMURALIDHARRAO3,863639740733677568,0,1,0,1,16,0,1,Sun May 14 06:18:54 2017,0.0625,0.75,0.53,0.75,0.8,0.59,0.875669310764,0.88,0.762086231829
CNJDPRASAD11,863661139875450880,1,0,0,1,1,4,57,Sun May 14 07:43:56 2017,1.0,0.8,0.973532829531,0.779441806516,0.84,0.56,0.787951843463,0.793147133651,0.783886357497
